Amostra;SPO14_A;SPO14_B;TUB76_A;TUB76_B;TUB96_A;TUB96_B;TUB84_A;TUB84_B;TUB94_A;TUB94_B;TUB103_A;TUB103_B;Umbu1_A;Umbu1_B;SPO8_A;SPO8_B;TUB73_A;TUB73_B;TUB98_A;TUB98_B;TUB78_A;TUB78_B;pop
IRM.BA.025;215;215;205;205;185;185;0;0;255;255;200;210;210;210;190;190;200;200;280;286;230;230;CD
NRD.BA.026;210;210;210;210;185;185;250;250;260;260;200;200;205;205;185;185;0;0;280;286;240;240;CD
SBRA.BA.027;205;205;205;205;0;0;0;0;265;265;200;200;200;200;185;185;0;0;0;0;245;245;CD
MCP.BA.036;210;220;200;200;200;200;0;0;260;260;220;225;215;215;190;190;200;200;280;280;240;240;CD
CRT.CE.007;245;245;200;200;0;0;0;0;260;260;200;200;205;205;180;180;0;0;280;280;220;220;CIA
PIX.PI.040;205;205;200;200;0;0;0;0;280;280;220;220;225;225;185;185;0;0;280;280;250;250;CIA
ALG.PI.041;0;0;200;200;210;210;0;0;290;290;230;235;225;225;185;185;200;200;280;280;260;260;CIA
VLN.PI.042;210;210;200;200;220;225;0;0;290;290;225;225;225;225;180;180;200;200;280;280;250;250;CIA
SIN.PI.043;0;0;200;200;215;215;0;0;290;290;240;240;245;250;180;180;200;200;280;280;250;250;CIA
BRJ.PI.044;215;215;200;200;215;215;0;0;295;295;245;245;225;225;180;180;200;200;0;0;260;260;CIA
DMR.PI.029;200;200;205;205;0;0;0;0;260;260;200;200;200;200;180;180;0;0;0;0;0;0;CM
PRC.PI.030;200;200;20;20;0;0;0;0;265;265;200;200;200;200;180;180;0;0;0;0;230;235;CM
CCL.PI.031;0;0;210;210;0;0;0;0;270;270;200;200;200;200;180;180;0;0;0;0;225;225;CM
BRR.BA.034;205;210;210;210;0;0;0;0;275;275;200;205;200;200;185;185;200;200;280;285;245;245;DSF
JZR.BA.037;0;0;200;200;210;210;0;0;275;275;220;220;235;235;190;190;200;200;280;285;0;0;DSF
SBRO.BA.038;210;210;200;200;210;210;0;0;275;275;220;220;225;225;195;195;200;200;280;285;250;250;DSF
SNT.BA.039;210;210;200;200;205;205;0;0;280;280;225;225;225;225;190;190;200;200;280;280;250;250;DSF
FLR.PE.003;220;220;0;0;0;0;0;0;260;260;210;210;215;215;190;190;200;200;280;286;240;240;DSM
BDC.PE.004;220;220;0;0;0;0;250;250;255;255;210;210;210;210;190;190;0;0;0;0;215;215;DSM
DRM.PE.005;245;245;200;200;0;0;0;0;250;250;205;205;205;205;185;185;0;0;280;280;225;225;DSM
PRN.AL.018;220;220;210;210;0;0;250;250;265;265;220;225;250;250;195;195;0;0;0;0;0;0;DSM
NPR.MG.020;290;290;220;220;0;0;0;0;300;300;225;225;225;225;210;210;0;0;0;0;0;0;DSM
JNR.MG.021;200;200;200;200;0;0;0;0;265;265;0;0;220;220;190;190;0;0;0;0;0;0;DSM
SRM.BA.022;205;205;0;0;0;0;0;0;265;265;210;210;230;230;190;190;0;0;280;280;225;225;DSM
ECR.BA.023;210;210;200;200;190;190;250;250;265;265;215;215;220;220;190;190;200;200;280;280;0;0;DSM
BRM.BA.024;210;210;205;205;195;195;0;0;265;265;205;205;210;210;190;190;200;200;0;0;0;0;DSM
QMD.BA.028;205;205;205;205;185;185;250;255;260;260;200;210;200;200;180;180;200;200;280;285;240;245;DSM
IPP.BA.035;205;210;210;210;0;0;0;0;275;275;200;205;205;205;190;190;200;200;280;280;250;250;DSM
SRN.PI.045;215;215;200;200;0;0;0;0;295;295;250;250;235;235;180;186;200;200;0;0;250;250;DSM
CRR.CE.006;240;240;200;200;0;0;0;0;255;255;200;200;205;205;185;185;0;0;0;0;0;0;DSS
BSF.PB.008;240;240;200;200;0;0;0;0;260;260;200;200;200;200;180;180;0;0;0;0;210;210;DSS
PAV.RN.009;230;230;200;200;200;200;0;0;260;260;200;200;205;205;185;185;0;0;280;280;220;225;DSS
GRN.PB.013;250;250;205;205;200;200;0;0;275;275;205;205;215;215;190;190;0;0;0;0;0;0;DSS
BQE.PE.001;210;210;200;200;200;200;250;250;265;265;220;220;225;225;190;190;205;205;0;0;225;225;PB
ABL.PE.002;210;210;200;200;195;195;0;0;260;260;215;215;220;220;190;190;205;205;280;280;225;225;PB
CDN.RN.010;230;230;200;200;200;200;250;250;265;265;200;200;205;205;185;185;0;0;0;0;220;220;PB
PLV.PB.011;220;220;200;200;200;200;0;0;265;265;205;205;205;205;190;190;200;200;0;0;220;220;PB
SVS.PB.012;220;220;200;200;200;200;250;250;270;270;210;210;210;210;190;190;0;0;0;0;225;225;PB
CML.PB.014;260;260;205;205;200;200;0;0;280;280;210;210;215;215;200;200;205;205;280;280;225;225;PB
CJS.BA.015;275;275;210;210;210;210;0;0;285;285;215;220;220;220;195;195;205;205;0;0;225;225;RC
SBR.BA.016;290;290;210;210;0;0;250;255;290;290;220;225;220;220;200;200;205;205;0;0;225;225;RC
CSF.SE.017;200;200;210;210;230;230;0;0;295;295;0;0;0;0;0;0;0;0;0;0;0;0;RC
CND.BA.019;200;200;220;220;0;0;250;255;295;295;225;230;220;220;205;205;210;210;280;285;250;250;RC
