id;pop;SPO14;TUB76;TUB96;TUB84;TUB94;TUB103;Umbu1;SPO8;TUB73;TUB98;TUB78
25;1;215215;205205;185185;NA;255255;200210;210210;190190;200200;280286;230230
26;1;210210;210210;185185;250250;260260;200200;205210;185185;NA;280286;240240
27;1;205205;205205;NA;NA;265265;200200;200200;185185;NA;NA;245245
36;1;210220;200200;200200;NA;260260;220225;215215;190190;200200;280280;240240
7;2;245245;200200;NA;NA;260260;200200;205205;180180;NA;280280;220220
40;2;205205;200200;NA;NA;280280;220220;225225;185185;NA;280280;250250
41;2;NA;200200;210210;NA;290290;230235;225225;185185;200200;280280;260260
42;2;210210;200200;220225;NA;290290;225225;225225;180180;200200;280280;250250
43;2;NA;200200;215215;NA;290290;240240;245250;180180;200200;280280;250250
44;2;215215;200200;215215;NA;295295;245245;225225;180180;200200;NA;260260
29;3;200200;205205;NA;NA;260260;200200;200200;180180;NA;NA;NA
30;3;200200;200200;NA;NA;265265;200200;200200;180180;NA;NA;230235
31;3;NA;210210;NA;NA;270270;200200;200200;180180;NA;NA;225225
34;4;205210;210210;NA;NA;275275;200205;200200;185185;200200;280285;245245
37;4;NA;200200;210210;NA;275275;220220;235235;190190;200200;280285;NA
38;4;210210;200200;210210;NA;275275;220220;225225;195195;200200;280285;250250
39;4;210210;200200;205205;NA;280280;225225;225225;190190;200200;280280;250250
3;5;220220;NA;NA;NA;260260;210210;215215;190190;200200;280286;240240
4;5;220220;NA;NA;250250;255255;210210;210210;190190;NA;NA;215215
5;5;245245;200200;NA;NA;250250;205205;205205;185185;NA;280280;225225
18;5;220220;210210;NA;250250;265265;220225;250250;195195;NA;NA;NA
20;5;290290;220220;NA;NA;300300;225225;225225;210210;NA;NA;NA
21;5;200200;200200;NA;NA;265265;NA;220220;190190;NA;NA;NA
22;5;205205;NA;NA;NA;265265;210210;230230;190190;NA;280280;225225
23;5;210210;200200;190190;250250;265265;215215;220220;190190;200200;280280;NA
24;5;210210;205205;195195;NA;265265;205205;210210;190190;200200;NA;NA
28;5;205205;205205;185185;250255;260260;200210;200200;180180;200200;280285;240245
35;5;205210;210210;NA;NA;275275;200205;205205;190190;200200;280280;250250
45;5;215215;200200;NA;NA;295295;250250;235235;180186;200200;NA;250250
6;6;240240;200200;NA;NA;255255;200200;205205;185185;NA;NA;NA
8;6;240240;200200;NA;NA;260260;200200;200200;180180;NA;NA;210210
9;6;230230;200200;200200;NA;260260;200200;205205;185185;NA;280280;220225
13;6;250250;205205;200200;NA;275275;205205;215215;190190;NA;NA;NA
1;7;210210;200200;200200;250250;265265;220220;225225;190190;200200;NA;225225
2;7;210210;200200;195195;NA;260260;215215;220220;190190;200200;280280;225225
10;7;230230;200200;200200;250250;265265;200200;205205;185185;NA;NA;220220
11;7;220220;200200;200200;NA;265265;205205;205205;190190;200200;NA;220220
12;7;220220;200200;200200;250250;270270;210210;210210;190190;NA;NA;225225
14;7;260260;205205;200200;NA;280280;210210;215215;200200;200200;280280;225225
15;8;275275;210210;210210;NA;285285;215220;220220;195195;200200;NA;225225
16;8;290290;210210;NA;250255;290290;220225;220220;200200;200200;NA;225225
17;8;200200;210210;230230;NA;295295;NA;NA;NA;NA;NA;NA
19;8;200200;220220;NA;250255;295295;225230;220220;205205;210210;280285;250250
